Image Number,URL,Alt Text,Title,File Extension,File Size,Resolution,Status,Error Message
455,https://www.pothys.com/cdn/shop/files/07-DSSPR-027-RS-2615-_2.jpg?v=1760161577&width=533,"Maroon intricate stone embroidered designer saree, crystal stone embroidered border","Maroon intricate stone embroidered designer saree, crystal stone embroidered border (srcset variant)",.jpg,62.91 KB,533x659,Success,
456,https://www.pothys.com/cdn/shop/files/05-DSSPR-025-RS-2875-_3.jpg?v=1760161239&width=1066,"Red floral jaal embroidered designer saree, scallop floral creeper embroidered border","Red floral jaal embroidered designer saree, scallop floral creeper embroidered border",.jpg,241.51 KB,910x1125,Success,
457,https://www.pothys.com/cdn/shop/files/05-DSSPR-025-RS-2875-_3.jpg?v=1760161239&width=533,"Red floral jaal embroidered designer saree, scallop floral creeper embroidered border","Red floral jaal embroidered designer saree, scallop floral creeper embroidered border (srcset variant)",.jpg,96.66 KB,533x659,Success,
458,https://www.pothys.com/cdn/shop/files/05-DSSPR-025-RS-2875-_3.jpg?v=1760161239&width=720,"Red floral jaal embroidered designer saree, scallop floral creeper embroidered border","Red floral jaal embroidered designer saree, scallop floral creeper embroidered border (srcset variant)",.jpg,170.67 KB,720x890,Success,
459,https://www.pothys.com/cdn/shop/files/06-DSSPR-026-RS-4495-_3.jpg?v=1760161355&width=1066,"Red jaal, and intricate thread embroidered designer saree, scallop intricate embroidered border","Red jaal, and intricate thread embroidered designer saree, scallop intricate embroidered border",.jpg,282.16 KB,910x1125,Success,
460,https://www.pothys.com/cdn/shop/files/06-DSSPR-026-RS-4495-_2.jpg?v=1760161360&width=1066,"Red jaal, and intricate thread embroidered designer saree, scallop intricate embroidered border","Red jaal, and intricate thread embroidered designer saree, scallop intricate embroidered border",.jpg,217.57 KB,910x1125,Success,
461,https://www.pothys.com/cdn/shop/files/05-DSSPR-025-RS-2875-_2.jpg?v=1760161248&width=720,"Red floral jaal embroidered designer saree, scallop floral creeper embroidered border","Red floral jaal embroidered designer saree, scallop floral creeper embroidered border (srcset variant)",.jpg,128.82 KB,720x890,Success,
462,https://www.pothys.com/cdn/shop/files/06-DSSPR-026-RS-4495-_3.jpg?v=1760161355&width=940,"Red jaal, and intricate thread embroidered designer saree, scallop intricate embroidered border","Red jaal, and intricate thread embroidered designer saree, scallop intricate embroidered border (srcset variant)",.jpg,282.16 KB,910x1125,Success,
463,https://www.pothys.com/cdn/shop/files/06-DSSPR-026-RS-4495-_2.jpg?v=1760161360&width=533,"Red jaal, and intricate thread embroidered designer saree, scallop intricate embroidered border","Red jaal, and intricate thread embroidered designer saree, scallop intricate embroidered border (srcset variant)",.jpg,79.86 KB,533x659,Success,
464,https://www.pothys.com/cdn/shop/files/05-DSSPR-025-RS-2875-_2.jpg?v=1760161248&width=1066,"Red floral jaal embroidered designer saree, scallop floral creeper embroidered border","Red floral jaal embroidered designer saree, scallop floral creeper embroidered border",.jpg,188.57 KB,910x1125,Success,
